Source_Name,Data_Type,Citation_APA,URL
World Bank,"GDP, inflation, unemployment, manufacturing, FDI, trade",World Bank. (2025). World Development Indicators.,https://data.worldbank.org
IMF WEO,GDP/Inflation/Unemployment forecasts,IMF. (2025). World Economic Outlook.,https://www.imf.org/weo
Transparency Int.,Corruption Perceptions Index,Transparency International. (2025). CPI 2024.,https://www.transparency.org/cpi
Heritage Foundation,Index of Economic Freedom,Heritage Foundation. (2025). 2025 Index.,https://www.heritage.org/index
World Bank WGI,Governance Indicators,World Bank. (2025). WGI.,https://info.worldbank.org/governance/wgi
S&P Global,Credit Ratings,S&P Global Ratings. (2025). Sovereign Ratings.,https://www.spglobal.com/ratings
Moody's,Credit Ratings,Moody's. (2025). Sovereign Ratings.,https://www.moodys.com
Fitch,Credit Ratings,Fitch Ratings. (2025). Sovereigns.,https://www.fitchratings.com
OICA,Auto production,OICA. (2025). World Motor Vehicle Production.,https://www.oica.net
IEA,EV market data,IEA. (2025). Global EV Outlook 2025.,https://www.iea.org
Trade.gov,Mexico auto industry,U.S. Commerce. (2025). Mexico - Automotive.,https://www.trade.gov
ANFAVEA,Brazil auto industry,ANFAVEA. (2025). Annual Report.,https://www.anfavea.com.br
OECD,Semiconductor ecosystem,OECD. (2025). Semiconductor Ecosystem Mexico.,https://www.oecd.org
Dallas Fed,Taiwan investment,Dallas Fed. (2025). Taiwan Firms Key to Nearshoring.,https://www.dallasfed.org
Reuters,Foxconn announcements,Reuters. (2025). Foxconn Mexico coverage.,https://www.reuters.com
